,Smoke,Age,Gender,SmokingFriends,SeenSmokerInSchool,SeenSmokerInPublicPlace,SeenSmokerInEnclosedPlace,SeenSmokerInHome,ParentWarnings,AttractiveSmoker,HardQuitSmoke,SmokerConfidentInCelebrations,SchoolWarnings,SeenHealthWarnings,AntiTobaccoInEvents,AntiTobaccoInMedia,BanTobaccoOutdoors,HarmfulPassiveSmoke,State,SmokingFather,SmokingMother,WorkingFather,WorkingMother
Smoke,0.9999999999999999,0.23653139391805178,0.0032322230669414587,0.3499709249667612,0.0940238006952727,0.27370506573571346,0.25877789522511324,0.18239822121183577,0.020756762586407365,0.13983160992151264,0.12342847801280663,0.11587285976450128,0.018793546898809944,0.23076141260818064,0.05349022970343228,0.038926184740627874,0.12783623083421608,0.24260983150362578,0.1128080365177372,0.05149459801569117,0.09093007142368424,0.09579966530278396,0.06190029358271725
Age,0.23653139391805178,1.0,0.03321770829673697,0.19123579988782377,0.089765893658917,0.09436904129651202,0.07015126974423819,0.05938176782014654,0.03129786581245124,0.05334578985199475,0.052306810931527524,0.07189908084560494,0.03274771187610425,0.10079763065094983,0.05233662157964252,0.04782434726314816,0.09569004687713342,0.06442832480188401,0.281609148102913,0.047737367156128155,0.04900098307437247,0.06421014212763321,0.05196095147624282
Gender,0.0032322230669414587,0.033217708296736974,1.0,0.03955768816859285,0.02082055606400461,0.08696671671685563,0.05323077637533358,0.053317658574739676,0.018864337804979675,0.039913075439536275,0.10786270997606404,0.04559197578153675,0.042583566297907195,0.02241704023135655,0.09577005021729346,0.004616451570435259,0.042158845196550165,0.06428179499246045,0.010990000825858801,0.009795664671709172,0.01619155567758187,0.013102944780811792,0.007893734018727191
SmokingFriends,0.3499709249667612,0.19123579988782372,0.03955768816859285,1.0,0.1608240811481885,0.2020096981582521,0.19092704950984993,0.14293411846428963,0.032092255193096636,0.09525960928990544,0.052241075827889734,0.10325887959747403,0.036228954579169956,0.11406784521898798,0.07275008571962237,0.03482712388291731,0.20458780742761246,0.07558705393347859,0.10557845117824921,0.12421039286370338,0.12536234711834413,0.03932427029259804,0.022925550367541372
SeenSmokerInSchool,0.0940238006952727,0.089765893658917,0.02082055606400461,0.16082408114818852,1.0,0.1533180066466737,0.1545481337390431,0.07385427976834937,0.01861021970810183,0.06278605531092375,0.022169802170199825,0.06232725882382747,0.04593891889164343,0.11324488345516323,0.056992505524786595,0.05092499466729895,0.01610909552683493,0.0378858592209763,0.1254696385954634,0.02061548162056738,0.02625338446688214,0.009242624265307368,0.0039038072211141513
SeenSmokerInPublicPlace,0.2737050657357135,0.09436904129651202,0.08696671671685563,0.2020096981582521,0.15331800664667367,1.0,0.41401476629711337,0.2162888438665496,0.05245367587732824,0.06970889094121069,0.06359378527465114,0.09397847124645531,0.047159583603382134,0.15466179435872027,0.056708446680855736,0.0677092853975446,0.16056585116621547,0.06914594342742401,0.11940721813625786,0.17458001983251897,0.1705115861127995,0.029783984678295006,0.034174369433882475
SeenSmokerInEnclosedPlace,0.25877789522511324,0.07015126974423819,0.053230776375333584,0.19092704950984996,0.1545481337390431,0.4140147662971134,1.0,0.2167494798014812,0.03585912969606712,0.08302885452901573,0.03222937966781657,0.08633080912831977,0.04717051478827795,0.11073938099816404,0.05373308992048204,0.058528072142252044,0.15361595694677643,0.054136010420566275,0.08978321685488068,0.16419789862624837,0.1749835018277292,0.035790401800544616,0.02153997242408037
SeenSmokerInHome,0.18239822121183574,0.05938176782014655,0.053317658574739676,0.14293411846428963,0.07385427976834937,0.2162888438665496,0.2167494798014812,1.0,0.020507228704148853,0.05505961048843846,0.0413919192454466,0.04729123260397799,0.03452121713280847,0.11639741831059895,0.023669540977986354,0.040570540807601106,0.12488204409960453,0.05154925066437297,0.0700367083879963,0.46318001040006096,0.43415420498195434,0.05214144855632105,0.04450607950808856
ParentWarnings,0.020756762586407365,0.03129786581245124,0.018864337804979675,0.032092255193096636,0.01861021970810183,0.05245367587732824,0.03585912969606712,0.020507228704148853,1.0,0.014484417334266808,0.05365288983293237,0.005403146507716957,0.11709971297554668,0.08833889947143249,0.04310759106586666,0.09703127104273468,0.020005067009466266,0.08043062820797389,0.07935338952802631,0.00470899380810593,0.01379949457824641,0.03613776070609968,0.021842113719958714
AttractiveSmoker,0.1398316099215126,0.05334578985199475,0.039913075439536275,0.09525960928990544,0.06278605531092375,0.06970889094121069,0.08302885452901573,0.055059610488438465,0.014484417334266808,0.9999999999999999,0.06650731173336623,0.2618074283320012,0.05714535261116214,0.06023655659718788,0.023049356683148413,0.06375858580110341,0.21120442542271134,0.11346530480102596,0.2559440024690505,0.049074974071449694,0.026167527225689137,0.03798328966831135,0.05299790358433271
HardQuitSmoke,0.12342847801280663,0.052306810931527524,0.10786270997606402,0.052241075827889734,0.022169802170199822,0.06359378527465114,0.03222937966781657,0.04139191924544661,0.05365288983293237,0.06650731173336624,0.9999999999999999,0.02792636960359579,0.03674621610430234,0.055133442963404534,0.021758116992503494,0.01099679416137204,0.046439322541194684,0.15363328577821536,0.07440975652554904,0.026619267961187014,0.027628596515217336,0.05961312233361299,0.05352125215825809
SmokerConfidentInCelebrations,0.11587285976450129,0.07189908084560492,0.04559197578153675,0.10325887959747403,0.06232725882382747,0.0939784712464553,0.08633080912831977,0.04729123260397799,0.005403146507716957,0.2618074283320012,0.027926369603595794,1.0,0.04207093557516326,0.0815244106349465,0.021212756345975133,0.03941203524672975,0.18806087698571658,0.05907988458471878,0.18498716102181953,0.03148809668542778,0.02688570875573975,0.03141970886501264,0.04150524928573233
SchoolWarnings,0.018793546898809944,0.03274771187610425,0.042583566297907195,0.03622895457916995,0.045938918891643435,0.047159583603382134,0.04717051478827795,0.03452121713280847,0.11709971297554668,0.05714535261116214,0.03674621610430234,0.04207093557516326,1.0,0.07823396031861853,0.05451249162360268,0.1635566825847943,0.0779912938149347,0.037999678809905894,0.0552107980667396,0.020820763841709073,0.01544393777113073,0.010578354168047263,0.02328103408108196
SeenHealthWarnings,0.23076141260818064,0.10079763065094985,0.02241704023135655,0.11406784521898798,0.11324488345516323,0.15466179435872027,0.11073938099816402,0.11639741831059895,0.08833889947143249,0.06023655659718788,0.055133442963404534,0.0815244106349465,0.07823396031861853,1.0,0.08101003575672251,0.18525352226123137,0.0579153196054324,0.12146855570487042,0.15101858263736084,0.08478024765299255,0.09522967456480345,0.05406399545067501,0.039467331727950694
AntiTobaccoInEvents,0.05349022970343228,0.05233662157964253,0.09577005021729346,0.07275008571962237,0.056992505524786595,0.056708446680855736,0.05373308992048205,0.023669540977986354,0.04310759106586666,0.023049356683148413,0.021758116992503497,0.021212756345975133,0.05451249162360268,0.08101003575672251,1.0,0.20332129880351554,0.05143275342047619,0.029722729728201346,0.07843988784030914,0.02556065086715354,0.024357238567401192,0.028855759634565492,0.02391845905965253
AntiTobaccoInMedia,0.038926184740627874,0.04782434726314816,0.004616451570435259,0.03482712388291731,0.05092499466729895,0.0677092853975446,0.058528072142252044,0.040570540807601106,0.09703127104273467,0.06375858580110341,0.01099679416137204,0.03941203524672974,0.1635566825847943,0.18525352226123137,0.20332129880351554,0.9999999999999999,0.09423193895054048,0.0547694042429992,0.12739276711985775,0.003147349379680429,0.009311420637156058,0.004641543842419818,0.009836068543106376
BanTobaccoOutdoors,0.12783623083421608,0.09569004687713342,0.042158845196550165,0.20458780742761246,0.01610909552683493,0.1605658511662155,0.15361595694677643,0.12488204409960453,0.020005067009466266,0.21120442542271134,0.046439322541194684,0.18806087698571658,0.0779912938149347,0.0579153196054324,0.0514327534204762,0.09423193895054047,1.0,0.13116896302580225,0.25557985566360814,0.0584655604453062,0.04608995224083866,0.00402003318992039,0.03536302426276799
HarmfulPassiveSmoke,0.2426098315036258,0.06442832480188401,0.06428179499246045,0.07558705393347859,0.0378858592209763,0.06914594342742401,0.054136010420566275,0.05154925066437297,0.08043062820797389,0.11346530480102596,0.15363328577821533,0.05907988458471877,0.037999678809905894,0.1214685557048704,0.029722729728201346,0.0547694042429992,0.13116896302580225,1.0,0.0782379901727105,0.04435501051996039,0.04025371383458378,0.0812655932048496,0.07017441887105155
State,0.1128080365177372,0.281609148102913,0.010990000825858803,0.10557845117824921,0.1254696385954634,0.11940721813625788,0.08978321685488068,0.07003670838799629,0.07935338952802631,0.2559440024690505,0.07440975652554906,0.1849871610218195,0.055210798066739605,0.15101858263736084,0.07843988784030914,0.12739276711985775,0.25557985566360814,0.0782379901727105,1.0,0.05932791020946461,0.04997798842651505,0.10356857006074222,0.0815224107987252
SmokingFather,0.05149459801569117,0.047737367156128155,0.009795664671709172,0.12421039286370338,0.02061548162056738,0.17458001983251897,0.16419789862624837,0.46318001040006096,0.00470899380810593,0.049074974071449694,0.026619267961187014,0.03148809668542777,0.020820763841709073,0.08478024765299255,0.02556065086715354,0.003147349379680429,0.0584655604453062,0.044355010519960394,0.05932791020946462,1.0,0.3491092192055947,0.008727796536511305,0.025360693037780366
SmokingMother,0.09093007142368424,0.04900098307437247,0.01619155567758187,0.12536234711834413,0.02625338446688214,0.1705115861127995,0.1749835018277292,0.43415420498195434,0.01379949457824641,0.026167527225689137,0.027628596515217336,0.02688570875573975,0.01544393777113073,0.09522967456480345,0.024357238567401195,0.009311420637156058,0.04608995224083866,0.04025371383458378,0.04997798842651505,0.3491092192055947,1.0,0.05333852547841865,0.006513750905049644
WorkingFather,0.09579966530278396,0.06421014212763322,0.013102944780811792,0.03932427029259804,0.009242624265307368,0.029783984678295006,0.035790401800544616,0.05214144855632105,0.03613776070609968,0.03798328966831135,0.05961312233361299,0.03141970886501264,0.010578354168047263,0.05406399545067501,0.028855759634565492,0.004641543842419818,0.00402003318992039,0.0812655932048496,0.1035685700607422,0.008727796536511305,0.05333852547841864,1.0,0.20703380227043816
WorkingMother,0.06190029358271726,0.05196095147624282,0.007893734018727191,0.022925550367541372,0.0039038072211141513,0.03417436943388247,0.02153997242408037,0.04450607950808856,0.021842113719958714,0.05299790358433272,0.05352125215825809,0.04150524928573233,0.02328103408108196,0.039467331727950694,0.02391845905965253,0.009836068543106376,0.03536302426276799,0.07017441887105155,0.0815224107987252,0.025360693037780366,0.006513750905049643,0.20703380227043813,1.0
